code,rwy,cn,tora_m,toda_m,asda_m,lda_m,width_m,slope
YCOM,18,3,2120,2180,2120,1910,30,0.5% down to N
YCOM,36,3,2120,2180,2120,2120,30,0.5% down to N
YCOR,05,2,1528,1588,1528,1528,23,Level
YCOR,23,2,1528,1588,1528,1528,23,Level
YCOR,14,1,1282,1342,1282,1282,18,Level
YCOR,32,1,1282,1342,1282,1282,18,Level
YCPR,08,3,2000,2060,2000,2000,30,0.02% down to W
YCPR,26,3,2000,2060,2000,2000,30,0.02% down to W
YCPT,01,3,1600,1660,1600,1600,30,Level
YCPT,19,3,1600,1660,1600,1600,30,Level
YCRG,06,2,1401,1461,1401,1324,30,0.3% down to NE
YCRG,24,2,1401,1461,1401,1314,30,0.3% down to NE
YCTM,10,1,855,915,855,855,30,0.5% down to W
YCTM,28,1,855,915,855,855,30,0.5% down to W
YCTM,16,2,1406,1466,1406,1406,18,Level
YCTM,34,2,1406,1466,1406,1126,18,Level
YCUE,04,3,1980,2040,1980,1980,30,0.41% down to SW
YCUE,22,3,1980,2040,1980,1980,30,0.41% down to SW
YCUN,05,3,1841,1901,1841,1841,30,0.25% down to SW
YCUN,23,3,1841,1901,1841,1841,30,0.25% down to SW
YCUN,14,3,1509,1569,1509,1509,30,0.16% down to SE
YCUN,32,3,1509,1569,1509,1509,30,0.16% down to SE
YCWA,08,3,1950,2080,1950,1800,30,0.77% down to W
YCWA,26,3,1930,2080,1930,1800,30,0.77% down to W
YCWR,03,1,1166,1226,1166,1166,30,0.3% down to SW
YCWR,21,1,1166,1226,1166,1166,30,0.3% down to SW
YCWR,15,3,1630,1706,1630,1630,30,0.1% down to NW
YCWR,33,3,1630,1720,1630,1630,30,0.1% down to NW
YDBI,01,2,1217,1277,1217,1217,30,0.1% down to S
YDBI,19,2,1217,1277,1217,1217,30,0.1% down to S
YDBY,05,1,1158,1218,1158,1158,18,0.1% down to SW
YDBY,23,1,1158,1218,1158,1158,18,0.1% down to SW
YDBY,11,3,1736,1826,1736,1736,30,0.1% down to W
YDBY,29,3,1736,1796,1736,1736,30,0.1% down to W
YDGA,11,3,1600,1660,1600,1600,30,0.184% down to NW
YDGA,29,3,1600,1660,1600,1600,30,0.184% down to NW
YDGU,09,3,1920,1980,1920,1920,30,0.22% down to W
YDGU,27,3,1920,1980,1920,1920,30,0.22% down to W
YDKG,18,3,2000,2060,2000,2000,30,0.33% down to the N
YDKG,36,3,2000,2060,2000,2000,30,0.33% down to the N
YDLQ,06,3,1219,1369,1279,1219,30,0.2% down to NE
YDLQ,24,3,1219,1369,1279,1219,30,0.2% down to NE
YDLQ,12,1,1487,1547,1487,1487,30,0.1% down to NW
YDLQ,30,1,1487,1547,1487,1487,30,0.1% down to NW
YDMG,12,3,1656,1716,1656,1656,30,0.1% down to SE
YDMG,30,3,1656,1716,1656,1656,30,0.1% down to SE
YDOD,09,1,1166,1226,1166,1166,18,0.6% down to W
YDOD,27,1,1166,1226,1166,1166,18,0.6% down to W
YDOD,18,1,788,848,788,788,30,0.7%
YDOD,36,1,788,848,788,788,30,0.7%
YDPO,06,4,1838,1898,1838,1838,45,0.1% down to W
YDPO,24,4,1838,1898,1838,1838,45,0.1% down to W
YDPO,14,2,880,940,880,880,30,0.6% down to NW
YDPO,32,2,880,940,880,880,30,0.6% down to NW
YECH,05,1,510,540,510,510,30,0.1% down to W
YECH,23,1,510,540,510,510,30,0.1% down to W
YECH,17,2,1252,1312,1252,1252,23,0.04% down to N
YECH,35,2,1252,1312,1252,1252,23,0.04% down to N
YEJI,08,3,1900,1960,1900,1900,30,0.79% down to E
YEJI,26,3,1900,1960,1900,1900,30,0.79% down to E
YELD,10,2,1440,1500,1440,1440,30,0.2% down to SE
YELD,28,2,1440,1500,1440,1440,30,0.2% down to SE
YEML,06,3,1900,1960,1900,1900,30,0.2% down to NE
YEML,24,3,1900,1960,1900,1900,30,0.2% down to NE
YEML,15,1,618,648,618,618,18,0.4% down to NW
YEML,33,1,618,648,618,618,18,0.4% down to NW
YESP,03,1,1178,1238,1178,1178,18,"NE end 0.3% down to SW, SW end level"
YESP,21,1,1178,1238,1178,1178,18,"NE end 0.3% down to SW, SW end level"
YESP,11,3,1800,1860,1800,1800,30,0.6% down to W
YESP,29,3,1800,1860,1800,1800,30,0.6% down to W
YEWA,10,3,2500,2500,2500,2500,30,0.1% down to W
YEWA,28,3,2500,2560,2500,2500,30,0.1% down to W
YFBS,09,1,1228,1288,1228,1228,18,Level
YFBS,27,1,1228,1288,1228,1228,18,Level
YFDF,12,3,2300,2360,2300,2300,,
YFDF,30,3,2300,2360,2300,2300,,
YFLI,05,2,1070,1130,1070,1070,30,0.5% down to SW
YFLI,23,2,1070,1130,1070,1014,30,0.5% down to SW
YFLI,14,3,1720,1780,1720,1720,30,0.1% from centre down to ends
YFLI,32,3,1720,1780,1720,1720,30,0.1% from centre down to ends
YFRT,09,3,1349,1409,1349,1349,30,0.1% down to E
YFRT,27,3,1349,1409,1349,1349,30,0.1% down to E
YFRT,18,3,1519,1579,1519,1519,45,Level
YFRT,36,3,1519,1829,1519,1519,45,Level
YFTA,15,3,1530,1590,1530,1530,30,0.1% down to SE
YFTA,33,3,1530,1590,1530,1530,30,0.1% down to SE
YFTZ,01,2,1300,1360,1300,1300,30,N end 0.2% down to N
YFTZ,19,2,1300,1360,1300,1300,30,N end 0.2% down to N
YGAY,06,2,1265,1325,1265,1265,23,0.3% down to NE
YGAY,24,2,1265,1325,1265,1265,23,0.3% down to NE
YGBI,10,2,1400,1460,1400,1400,18,0.4% down to E
YGBI,28,2,1400,1460,1400,1400,18,0.4% down to E
YGDA,12,1,1016,1076,1016,1016,18,LEVEL
YGDA,30,1,1016,1076,1016,1016,18,LEVEL
YGDH,11,3,1646,1706,1646,1646,30,0.1% down to W
YGDH,29,3,1646,1706,1646,1646,30,0.1% down to W
YGDI,04,2,1340,1400,1340,1340,30,0.1% down to NE
YGDI,22,2,1340,1400,1340,1340,30,0.1% down to NE
YGDI,12,1,795,855,795,795,30,0.1% down to NW
YGDI,30,1,795,855,795,795,30,0.1% down to NW
YGEL,03,4,2389,2449,2389,2389,45,0.3% down to S
YGEL,21,4,2389,2449,2389,2389,45,0.3% down to S
YGEL,08,1,900,960,900,900,18,0.3% down to W
YGEL,26,1,900,960,900,900,18,0.3% down to W
YGEL,14,1,844,904,844,844,18,0.1% down to SE
YGEL,32,1,844,904,844,844,18,0.1% down to SE
YGFN,18,3,1709,1769,1709,1709,30,0.8% down to N
YGFN,36,3,1709,1769,1709,1709,30,0.8% down to N
YGGE,11,2,1396,1456,1396,1396,30,0.5% down to E
YGGE,29,2,1396,1456,1396,1396,30,0.5% down to E
YGIA,09,4,2500,2560,2500,2500,45,0.04% down to E
YGIA,27,4,2500,2560,2500,2500,45,0.04% down to E
YGIG,08,MIL,1828,1988,1828,1828,45,0.06% down to E
YGIG,26,MIL,1828,2133,1828,1828,45,0.06% down to E
YGLA,10,3,1885,1945,1885,1780,30,0.34% down to E
YGLA,28,3,1920,1980,1920,1720,30,0.34% down to E
YGLB,04,3,1281,1342,1281,1281,30,1.2% down to NE
YGLB,22,3,1281,1342,1281,1281,30,1.2% down to NE
YGLB,08,1,679,739,679,679,30,0.9% down to E
YGLB,26,1,679,739,679,679,30,0.9% down to E
YGLI,10,2,1200,1260,1200,1200,30,0.2% down to W
YGLI,28,2,1200,1260,1200,1200,30,0.2% down to W
YGLI,14,3,1498,1558,1498,1498,30,0.5% from N down to centre
YGLI,32,3,1498,1558,1498,1498,30,0.5% from N down to centre
YGNW,12,2,1499,1559,1499,1499,30,1% down to SE
YGNW,30,2,1499,1559,1499,1499,30,1% down to SE
YGON,08,2,1170,1230,1170,1170,30,1.0% down to E
YGON,26,2,1170,1230,1170,1170,30,1.0% down to E
YGPT,04,2,1315,1375,1315,1315,18,0.7% down to SW
YGPT,22,2,1315,1375,1315,1315,18,0.7% down to SW
YGRM,06,3,2100,2160,2100,2100,30,0.05% down to the NE
YGRM,24,3,2100,2160,2100,2100,30,0.05% down to the NE
YGTE,10,3,1903,1961,1903,1903,30,0.3% down to W
YGTE,28,3,1903,1961,1903,1903,30,0.3% down to W
YGTH,06,3,1704,1795,1704,1704,30,0.3% down to SW
YGTH,24,3,1704,1764,1704,1704,30,0.3% down to SW
YGTH,18,1,600,660,600,600,18,0.2% down to S
YGTH,36,1,600,660,600,600,18,0.2% down to S
YGTN,06,1,1158,1218,1158,1158,18,
YGTN,24,1,1158,1218,1158,1158,18,
YHAY,04,3,1463,1523,1463,1463,30,Level
YHAY,22,3,1463,1523,1463,1463,30,Level
YHAY,15,2,1140,1200,1140,1140,30,Level
YHAY,33,2,1140,1200,1140,1140,30,Level
YHBA,11,3,2000,2060,2000,2000,30,
YHBA,29,3,2000,2060,2000,2000,30,
YHID,08,3,1389,1449,1389,1389,30,0.2% down to W
YHID,26,3,1389,1465,1389,1389,30,0.2% down to W
YHLC,04,3,1475,1535,1475,1475,30,0.2% down to NE
YHLC,22,3,1475,1535,1475,1475,30,0.2% down to NE
YHLC,08,1,946,976,946,946,18,0.8% down to E
YHLC,26,1,946,976,946,946,18,0.8% down to E
YHML,10,3,1233,1293,1233,1233,30,"0.6% down to E, 0.8 down to W"
YHML,28,3,1233,1293,1233,1233,30,"0.6% down to E, 0.8 down to W"
YHML,17,3,1664,1724,1664,1664,30,0.5% down to N
YHML,35,3,1664,1724,1664,1664,30,0.5% down to N
YHOT,11,3,1460,1520,1460,1460,30,0.7% down to E
YHOT,29,3,1460,1520,1460,1460,30,0.7% down to E
YHPN,01,1,1110,1170,1110,1110,18,Level
YHPN,19,1,1110,1197,1110,1110,18,Level
YHPN,08,1,487,547,487,487,30,Level
YHPN,26,1,487,547,487,487,30,Level
YHSM,08,3,1322,1382,1322,1322,30,0.1% down to W
YHSM,26,3,1322,1382,1322,1322,30,0.1% down to W
YHSM,17,2,999,1059,999,999,24,0.1% down to N
YHSM,35,2,999,1157,999,999,24,0.1% down to N
YHUG,06,1,1307,1367,1307,1307,18,0.1% down to SW
YHUG,24,1,1307,1367,1307,1307,18,0.1% down to SW
YHUG,12,3,1644,1704,1644,1644,30,0.2% down to NW
YHUG,30,3,1644,1704,1644,1644,30,0.2% down to NW
YIBO,12,3,2500,2560,2500,2500,30,0.28% down to NW
YIBO,30,3,2500,2560,2500,2500,30,0.28% down to NW
YIFL,03,1,1204,1264,1204,1204,30,0.3% down to NE
YIFL,21,1,1204,1264,1204,1204,30,0.3% down to NE
YIFL,14,2,1353,1413,1353,1353,30,0.2% down to SE
YIFL,32,2,1353,1413,1353,1353,30,0.2% down to SE
YIMB,03,2,1580,1640,1580,1580,30,0.3% down to NE
YIMB,21,2,1580,1640,1580,1580,30,0.3% down to NE
YIMB,15,2,1112,1172,1112,1112,30,0.2% down to NW
YIMB,33,2,1112,1172,1112,1112,30,0.2% down to NW
YIVL,04,1,700,730,700,700,18,1.2% down to SW
YIVL,22,1,700,730,700,700,18,1.2% down to SW
YIVL,16,3,2114,2174,2114,2114,30,
YIVL,34,3,2114,2174,2114,2114,30,
YIVO,09,2,1019,1079,1019,1019,30,0.34% down to E
YIVO,27,2,1019,1079,1019,1019,30,0.34% down to E
YIVO,16,1,1245,1305,1245,1245,18,0.6% down to N
